,marker,pvalue,est_effectsize,effectsize_SE,bh_corr_pvalue_5perc,bh_adj_pvalue_5perc,bh_tresh_pvalue
0,1-0,0.7774438122823819,2.1960168607561252,7.769337781965763,0.8358866705746283,0.8358866705746283,False
1,1-1,0.6875549655388036,2.2563123814627715,5.610269887957336,0.7791432358964495,0.7791432358964495,False
2,1-2,0.34919050699458654,4.349966929422473,4.64660330851126,0.48726459857438126,0.48726459857438126,False
3,1-3,0.23189668428393595,5.349227051438036,4.474515894596487,0.3646572686801189,0.3646572686801189,False
4,1-4,0.5741330820045087,2.4622475305667186,4.381418605743532,0.6948406853234514,0.6948406853234514,False
5,1-5,0.6134771046771872,2.2088723152933416,4.372996894908206,0.724871673015851,0.724871673015851,False
6,1-6,0.7315184973458018,1.4975564530067031,4.364701217313108,0.800765968393642,0.800765968393642,False
7,1-7,0.998089610849123,0.010541774252334005,4.4028259263576714,0.9983263841377896,0.9983263841377896,False
8,1-8,0.9077563450377956,-0.5011584920149718,4.32521541825015,0.9335204797124728,0.9335204797124728,False
9,1-9,0.9983263841377896,0.00906188218321687,4.320185262980795,0.9983263841377896,0.9983263841377896,False
10,1-10,0.9154744986811151,0.45645882464685456,4.300700009751251,0.9379083695253271,0.9379083695253271,False
11,1-11,0.8678093825067296,0.7142381971070776,4.2912222193665395,0.9019132810701841,0.9019132810701841,False
12,1-12,0.8217460188075355,-0.9826528905549651,4.361533770736822,0.8686986513658095,0.8686986513658095,False
13,1-13,0.9669675584128808,-0.17998371506121502,4.346187718526074,0.9759459015736318,0.9759459015736318,False
14,1-14,0.8926936237003201,0.5963130680099411,4.420519458302527,0.9232711407823482,0.9232711407823482,False
15,1-15,0.7261077435786794,-1.5196925119530118,4.338164019530979,0.7974146207465976,0.7974146207465976,False
16,1-16,0.4904963174657463,2.900870001310316,4.207088280316882,0.6235900550704868,0.6235900550704868,False
17,1-17,0.28131440395798846,4.510702849056982,4.186767081702186,0.41491011818498436,0.41491011818498436,False
18,1-18,0.31940289051274096,4.168479643337203,4.186541728387311,0.45622988434605705,0.45622988434605705,False
19,1-19,0.2486552326411665,4.8295926810573,4.186460791801522,0.38015223330653725,0.38015223330653725,False
20,1-20,0.25356856314620124,4.819404854136974,4.221162767712729,0.38603505341725597,0.38603505341725597,False
21,1-21,0.26115230772664344,4.744286502795309,4.222128507170328,0.3937206081814999,0.3937206081814999,False
22,1-22,0.19063833745315262,5.5916465827114425,4.272695162366077,0.31929718460951756,0.31929718460951756,False
23,1-23,0.07075340109413329,8.145574210567572,4.507646668729671,0.17439670519120837,0.17439670519120837,False
24,1-24,0.24564014047188443,4.944280272805302,4.258623473661171,0.3771339444815514,0.3771339444815514,False
25,1-25,0.17198733563408763,5.805411942027328,4.250415024508297,0.30008063215770986,0.30008063215770986,False
26,1-26,0.15711613875701275,6.002983962538893,4.242878671780644,0.282757024551114,0.282757024551114,False
27,1-27,0.15918443936090643,5.9822717207545235,4.249316404956273,0.2854162093021251,0.2854162093021251,False
28,1-28,0.20448982517069714,5.418197826307638,4.27011943961917,0.33275514964153863,0.33275514964153863,False
29,1-29,0.198051916199249,5.476831681115291,4.255100514818565,0.3286062397274418,0.3286062397274418,False
30,1-30,0.10569142359437826,6.937288254920897,4.287924434503666,0.22522499645513788,0.22522499645513788,False
31,1-31,0.03393396387095832,9.026789492671805,4.256202019366873,0.10449353747232773,0.10449353747232773,False
32,1-32,0.019711104742962837,10.102440404084888,4.332460470291393,0.07287745188979797,0.07287745188979797,False
33,1-33,0.024550819919277166,9.757587061610865,4.339795213472706,0.08526115416055681,0.08526115416055681,False
34,1-34,0.014734312654258643,10.637751762296912,4.361800174283749,0.06021968154221849,0.06021968154221849,False
35,1-35,0.013354546163938903,10.738272783469215,4.340148408876528,0.056484014319850534,0.056484014319850534,False
36,1-36,0.006508521276145419,11.951385711393963,4.392280697466215,0.03434350789888384,0.03434350789888384,True
37,1-37,0.009854506014342778,11.261792479919023,4.363525169157355,0.045156915393327786,0.045156915393327786,True
38,1-38,0.005921180685052022,12.090569176568604,4.393192579298771,0.03186298715174034,0.03186298715174034,True
39,1-39,0.007994281634863392,11.629447201583444,4.384646524972993,0.0398613951242959,0.0398613951242959,True
40,1-40,0.01373346280583655,10.79420178008485,4.380478509454793,0.05741643873055512,0.05741643873055512,False
41,1-41,0.02862368796591383,9.58891057592553,4.381237226215727,0.09457127300592198,0.09457127300592198,False
42,1-42,0.03284653855711848,9.340878413172135,4.377263047863076,0.10201196403310796,0.10201196403310796,False
43,1-43,0.03444113493327498,9.207332583407625,4.353618902162867,0.10575568834031047,0.10575568834031047,False
44,1-44,0.02349962796388084,9.904545915276094,4.372457278737547,0.08240030837657572,0.08240030837657572,False
45,1-45,0.027181977005052396,9.539078206898381,4.318485120081735,0.09119385495213565,0.09119385495213565,False
46,1-46,0.0009119242782746483,14.42224821663998,4.348795184362952,0.007235486791857976,0.007235486791857976,True
47,1-47,4.0309976182741375e-05,17.815008598605537,4.339096145988573,0.0004979198194390895,0.0004979198194390895,True
48,1-48,4.963256315310672e-06,19.392211149780838,4.246778131877012,7.93391119815103e-05,7.93391119815103e-05,True
49,1-49,1.851484123965847e-06,20.370993891708967,4.2715497229788335,3.411124140255721e-05,3.411124140255721e-05,True
50,1-50,3.187837577740367e-06,20.1679858991941,4.329444822181175,5.500284836513935e-05,5.500284836513935e-05,True
51,1-51,3.880769440669512e-06,19.78784999681681,4.2852476783232865,6.391509669708727e-05,6.391509669708727e-05,True
52,1-52,4.538997619486173e-06,19.759270317617165,4.309508919194661,7.364015540867866e-05,7.364015540867866e-05,True
53,1-53,1.8464608515528075e-05,18.137305072170534,4.235024869422497,0.0002447686519070612,0.0002447686519070612,True
54,1-54,1.7599358505904306e-06,20.409227670908056,4.270427132802174,3.298362533778962e-05,3.298362533778962e-05,True
55,1-55,4.640565845492051e-07,21.392220275555893,4.243976676117117,1.1209544608999686e-05,1.1209544608999686e-05,True
56,1-56,2.6455633373427396e-06,20.86490780695162,4.442576731099309,4.7143071273632096e-05,4.7143071273632096e-05,True
57,1-57,2.4386851100204605e-05,18.698345644086615,4.430466957735204,0.0003155774660228858,0.0003155774660228858,True
58,1-58,0.0031090208644581206,13.03134690115772,4.407324144826078,0.01870124914504416,0.01870124914504416,True
59,1-59,0.0492787351603507,8.944707151868972,4.549300232902334,0.137867858890667,0.137867858890667,False
60,1-60,0.7091816104941606,1.619867372611519,4.3433268669719025,0.7922570907585951,0.7922570907585951,False
61,1-61,0.8317311356530137,-0.8863196826524311,4.171272417898699,0.8748088158811519,0.8748088158811519,False
